traitID	traitDescription	traitType	downloadLink
30720_irnt.male	Cystatin C (mg/L)	blood biochemistry	https://www.dropbox.com/s/uk8f1fl5osapsxu/30720_irnt.imputed_v3.ldsc.male.tsv.gz
30730_irnt.female	Gamma glutamyltransferase (U/L)	blood biochemistry	https://www.dropbox.com/s/1257f7b7xesosg7/30730_irnt.imputed_v3.ldsc.female.tsv.gz
30730_irnt.male	Gamma glutamyltransferase (U/L)	blood biochemistry	https://www.dropbox.com/s/0grn18t78pzqojq/30730_irnt.imputed_v3.ldsc.male.tsv.gz
30740_irnt.female	Glucose (mmol/L)	blood biochemistry	https://www.dropbox.com/s/u9o64qhh1elc0ep/30740_irnt.imputed_v3.ldsc.female.tsv.gz
30740_irnt.male	Glucose (mmol/L)	blood biochemistry	https://www.dropbox.com/s/wzhjltcfh41n1cs/30740_irnt.imputed_v3.ldsc.male.tsv.gz
30750_irnt.female	Glycated haemoglobin (mmol/mol)	blood biochemistry	https://www.dropbox.com/s/l7gbhp7thml8iwk/30750_irnt.imputed_v3.ldsc.female.tsv.gz
30750_irnt.male	Glycated haemoglobin (mmol/mol)	blood biochemistry	https://www.dropbox.com/s/wmcn5qxx8kjcotu/30750_irnt.imputed_v3.ldsc.male.tsv.gz
30760_irnt.female	HDL cholesterol (mmol/L)	blood biochemistry	https://www.dropbox.com/s/cw8f6dfzisgc58n/30760_irnt.imputed_v3.ldsc.female.tsv.gz
30760_irnt.male	HDL cholesterol (mmol/L)	blood biochemistry	https://www.dropbox.com/s/j1bctfs7fvf37ab/30760_irnt.imputed_v3.ldsc.male.tsv.gz
30770_irnt.female	IGF-1 (nmol/L)	blood biochemistry	https://www.dropbox.com/s/zv0qpi4k1lj4626/30770_irnt.imputed_v3.ldsc.female.tsv.gz
30770_irnt.male	IGF-1 (nmol/L)	blood biochemistry	https://www.dropbox.com/s/9wmj5p919rdz15f/30770_irnt.imputed_v3.ldsc.male.tsv.gz
30780_irnt.female	LDL direct (mmol/L)	blood biochemistry	https://www.dropbox.com/s/vgib5h0qok1dt2t/30780_irnt.imputed_v3.ldsc.female.tsv.gz
30780_irnt.male	LDL direct (mmol/L)	blood biochemistry	https://www.dropbox.com/s/d1tgoacted6n671/30780_irnt.imputed_v3.ldsc.male.tsv.gz
30790_irnt.female	Lipoprotein A (nmol/L)	blood biochemistry	https://www.dropbox.com/s/kunxcwl5jyrx20a/30790_irnt.imputed_v3.ldsc.female.tsv.gz
30790_irnt.male	Lipoprotein A (nmol/L)	blood biochemistry	https://www.dropbox.com/s/4nvcskcvgl84dpx/30790_irnt.imputed_v3.ldsc.male.tsv.gz
30800_irnt.female	Oestradiol (pmol/L)	blood biochemistry	https://www.dropbox.com/s/mpgn09u34df8s6p/30800_irnt.imputed_v3.ldsc.female.tsv.gz
30800_irnt.male	Oestradiol (pmol/L)	blood biochemistry	https://www.dropbox.com/s/w546asvuwhgfxs2/30800_irnt.imputed_v3.ldsc.male.tsv.gz
30810_irnt.female	Phosphate (mmol/L)	blood biochemistry	https://www.dropbox.com/s/pfkrsutl15096mb/30810_irnt.imputed_v3.ldsc.female.tsv.gz
30810_irnt.male	Phosphate (mmol/L)	blood biochemistry	https://www.dropbox.com/s/ao5as8nt1579s6f/30810_irnt.imputed_v3.ldsc.male.tsv.gz
30820_irnt.female	Rheumatoid factor (IU/ml)	blood biochemistry	https://www.dropbox.com/s/4kcove8rfz007vg/30820_irnt.imputed_v3.ldsc.female.tsv.gz
30820_irnt.male	Rheumatoid factor (IU/ml)	blood biochemistry	https://www.dropbox.com/s/7mn9xzsms65gy6c/30820_irnt.imputed_v3.ldsc.male.tsv.gz
30830_irnt.female	SHBG (nmol/L)	blood biochemistry	https://www.dropbox.com/s/7d38mdlsr1xvmh1/30830_irnt.imputed_v3.ldsc.female.tsv.gz
30830_irnt.male	SHBG (nmol/L)	blood biochemistry	https://www.dropbox.com/s/eaq6q2qapjzfx7v/30830_irnt.imputed_v3.ldsc.male.tsv.gz
30840_irnt.female	Total bilirubin (umol/L)	blood biochemistry	https://www.dropbox.com/s/ya18vdxvhv1l4cj/30840_irnt.imputed_v3.ldsc.female.tsv.gz
30840_irnt.male	Total bilirubin (umol/L)	blood biochemistry	https://www.dropbox.com/s/tl9atje9pd3xhjk/30840_irnt.imputed_v3.ldsc.male.tsv.gz
30850_irnt.female	Testosterone (nmol/L)	blood biochemistry	https://www.dropbox.com/s/s33l5kdehy5e3cs/30850_irnt.imputed_v3.ldsc.female.tsv.gz
30850_irnt.male	Testosterone (nmol/L)	blood biochemistry	https://www.dropbox.com/s/sgf52avw7o7bgbn/30850_irnt.imputed_v3.ldsc.male.tsv.gz
30860_irnt.female	Total protein (g/L)	blood biochemistry	https://www.dropbox.com/s/w28090wrirkphvk/30860_irnt.imputed_v3.ldsc.female.tsv.gz
30860_irnt.male	Total protein (g/L)	blood biochemistry	https://www.dropbox.com/s/fj0llrs97ks1b8l/30860_irnt.imputed_v3.ldsc.male.tsv.gz
30870_irnt.female	Triglycerides (mmol/L)	blood biochemistry	https://www.dropbox.com/s/ltkkr8p5dcp5oui/30870_irnt.imputed_v3.ldsc.female.tsv.gz
30870_irnt.male	Triglycerides (mmol/L)	blood biochemistry	https://www.dropbox.com/s/ql7g9r6h49hs2ym/30870_irnt.imputed_v3.ldsc.male.tsv.gz
30880_irnt.female	Urate (umol/L)	blood biochemistry	https://www.dropbox.com/s/jx23jftgaolqm3j/30880_irnt.imputed_v3.ldsc.female.tsv.gz
30880_irnt.male	Urate (umol/L)	blood biochemistry	https://www.dropbox.com/s/mbzcxjdj6jmghtj/30880_irnt.imputed_v3.ldsc.male.tsv.gz
30890_irnt.female	Vitamin D (nmol/L)	blood biochemistry	https://www.dropbox.com/s/feuqvdq4wtlc15r/30890_irnt.imputed_v3.ldsc.female.tsv.gz
30890_irnt.male	Vitamin D (nmol/L)	blood biochemistry	https://www.dropbox.com/s/vmw87ipb43ysr71/30890_irnt.imputed_v3.ldsc.male.tsv.gz
30897_irnt.female	Estimated sample dilution factor (factor)	non-blood	https://www.dropbox.com/s/elsmr6rxo0i71i2/30897_irnt.imputed_v3.ldsc.female.tsv.gz
30897_irnt.male	Estimated sample dilution factor (factor)	non-blood	https://www.dropbox.com/s/5g4zrtd6v2klyqo/30897_irnt.imputed_v3.ldsc.male.tsv.gz
40007_irnt.male	Age at death	non-blood	https://www.dropbox.com/s/exsea33x3vv4tjz/40007_irnt.ldsc.imputed_v3.male.tsv.bgz
100001_irnt.female	Food weight	non-blood	https://www.dropbox.com/s/xkm6yiel7ezqn38/100001_irnt.ldsc.imputed_v3.female.tsv.bgz
100001_irnt.male	Food weight	non-blood	https://www.dropbox.com/s/w355oarndjd3ec6/100001_irnt.ldsc.imputed_v3.male.tsv.bgz
100002_irnt.female	Energy	non-blood	https://www.dropbox.com/s/xv79cgdskxnu4gp/100002_irnt.ldsc.imputed_v3.female.tsv.bgz
100002_irnt.male	Energy	non-blood	https://www.dropbox.com/s/2kcncaa39euw6un/100002_irnt.ldsc.imputed_v3.male.tsv.bgz
100003_irnt.female	Protein	non-blood	https://www.dropbox.com/s/0t2alletlcvgulh/100003_irnt.ldsc.imputed_v3.female.tsv.bgz
100003_irnt.male	Protein	non-blood	https://www.dropbox.com/s/51elw39vj8wgi7p/100003_irnt.ldsc.imputed_v3.male.tsv.bgz
100004_irnt.female	Fat	non-blood	https://www.dropbox.com/s/nlcxlw3b5xr95h4/100004_irnt.ldsc.imputed_v3.female.tsv.bgz
100004_irnt.male	Fat	non-blood	https://www.dropbox.com/s/oddvjio171tjhfb/100004_irnt.ldsc.imputed_v3.male.tsv.bgz
100005_irnt.female	Carbohydrate	non-blood	https://www.dropbox.com/s/ty04akvvh6v912x/100005_irnt.ldsc.imputed_v3.female.tsv.bgz
100005_irnt.male	Carbohydrate	non-blood	https://www.dropbox.com/s/j2tcu9pgnhnbp4e/100005_irnt.ldsc.imputed_v3.male.tsv.bgz
100006_irnt.female	Saturated fat	non-blood	https://www.dropbox.com/s/rn25tdtiet8k08s/100006_irnt.ldsc.imputed_v3.female.tsv.bgz
100006_irnt.male	Saturated fat	non-blood	https://www.dropbox.com/s/watdd3i7dg8rj9r/100006_irnt.ldsc.imputed_v3.male.tsv.bgz
100007_irnt.female	Polyunsaturated fat	non-blood	https://www.dropbox.com/s/gx7olxs9y5aa131/100007_irnt.ldsc.imputed_v3.female.tsv.bgz
100007_irnt.male	Polyunsaturated fat	non-blood	https://www.dropbox.com/s/6xx1qm0fcspjfmz/100007_irnt.ldsc.imputed_v3.male.tsv.bgz
100008_irnt.female	Total sugars	non-blood	https://www.dropbox.com/s/mitux3r4ql83i91/100008_irnt.ldsc.imputed_v3.female.tsv.bgz
100008_irnt.male	Total sugars	non-blood	https://www.dropbox.com/s/juyfjdl0jkg7wga/100008_irnt.ldsc.imputed_v3.male.tsv.bgz
100009_irnt.female	Englyst dietary fibre	non-blood	https://www.dropbox.com/s/tzpea436cs6uv3s/100009_irnt.ldsc.imputed_v3.female.tsv.bgz
100009_irnt.male	Englyst dietary fibre	non-blood	https://www.dropbox.com/s/3e4fbpwgvo3mnbk/100009_irnt.ldsc.imputed_v3.male.tsv.bgz
100011_irnt.female	Iron	non-blood	https://www.dropbox.com/s/iyu5dq1fbtau09r/100011_irnt.ldsc.imputed_v3.female.tsv.bgz
100011_irnt.male	Iron	non-blood	https://www.dropbox.com/s/yyhye9xyw45hqbd/100011_irnt.ldsc.imputed_v3.male.tsv.bgz
100012_irnt.female	Vitamin B6	non-blood	https://www.dropbox.com/s/lqxgebnp8ves066/100012_irnt.ldsc.imputed_v3.female.tsv.bgz
100012_irnt.male	Vitamin B6	non-blood	https://www.dropbox.com/s/4e0he2n3a22xvh2/100012_irnt.ldsc.imputed_v3.male.tsv.bgz
100013_irnt.female	Vitamin B12	non-blood	https://www.dropbox.com/s/sv79qotg13chk0x/100013_irnt.ldsc.imputed_v3.female.tsv.bgz
100013_irnt.male	Vitamin B12	non-blood	https://www.dropbox.com/s/lwo7outuxb9rz2c/100013_irnt.ldsc.imputed_v3.male.tsv.bgz
100014_irnt.female	Folate	non-blood	https://www.dropbox.com/s/te9saqycwft8z7s/100014_irnt.ldsc.imputed_v3.female.tsv.bgz
100014_irnt.male	Folate	non-blood	https://www.dropbox.com/s/hv8fu607u9tct7f/100014_irnt.ldsc.imputed_v3.male.tsv.bgz
100015_irnt.female	Vitamin C	non-blood	https://www.dropbox.com/s/mlwyhuavs6wwa9x/100015_irnt.ldsc.imputed_v3.female.tsv.bgz
100015_irnt.male	Vitamin C	non-blood	https://www.dropbox.com/s/uasncop00389nha/100015_irnt.ldsc.imputed_v3.male.tsv.bgz
100016_irnt.female	Potassium	non-blood	https://www.dropbox.com/s/vdksjzwbqham80d/100016_irnt.ldsc.imputed_v3.female.tsv.bgz
100016_irnt.male	Potassium	non-blood	https://www.dropbox.com/s/0bnsht3wptx3paa/100016_irnt.ldsc.imputed_v3.male.tsv.bgz
100017_irnt.female	Magnesium	non-blood	https://www.dropbox.com/s/50t9ft7t10sxl3u/100017_irnt.ldsc.imputed_v3.female.tsv.bgz
100017_irnt.male	Magnesium	non-blood	https://www.dropbox.com/s/fu1i969z9oiemyi/100017_irnt.ldsc.imputed_v3.male.tsv.bgz
100018_irnt.female	Retinol	non-blood	https://www.dropbox.com/s/g4sstug7vt8lbek/100018_irnt.ldsc.imputed_v3.female.tsv.bgz
100018_irnt.male	Retinol	non-blood	https://www.dropbox.com/s/5jeeleithsctvrq/100018_irnt.ldsc.imputed_v3.male.tsv.bgz
100019_irnt.female	Carotene	non-blood	https://www.dropbox.com/s/ucxd3s7pdlqrnxv/100019_irnt.ldsc.imputed_v3.female.tsv.bgz
100019_irnt.male	Carotene	non-blood	https://www.dropbox.com/s/5ndjfy91r5m5j4m/100019_irnt.ldsc.imputed_v3.male.tsv.bgz
100021_irnt.female	Vitamin D	non-blood	https://www.dropbox.com/s/cm2ihn6vzu5bopm/100021_irnt.ldsc.imputed_v3.female.tsv.bgz
100021_irnt.male	Vitamin D	non-blood	https://www.dropbox.com/s/e29aeunhfgpsed7/100021_irnt.ldsc.imputed_v3.male.tsv.bgz
100023_irnt.female	Starch	non-blood	https://www.dropbox.com/s/ylmwp3dmmvar4x4/100023_irnt.ldsc.imputed_v3.female.tsv.bgz
100023_irnt.male	Starch	non-blood	https://www.dropbox.com/s/u5bj4zsl9ri6s63/100023_irnt.ldsc.imputed_v3.male.tsv.bgz
100024_irnt.female	Calcium	non-blood	https://www.dropbox.com/s/zajziriczclhfj4/100024_irnt.ldsc.imputed_v3.female.tsv.bgz
100024_irnt.male	Calcium	non-blood	https://www.dropbox.com/s/aq2e3yqz688324o/100024_irnt.ldsc.imputed_v3.male.tsv.bgz
100025_irnt.female	Vitamin E	non-blood	https://www.dropbox.com/s/qu3yow3fl19gpuv/100025_irnt.ldsc.imputed_v3.female.tsv.bgz
100025_irnt.male	Vitamin E	non-blood	https://www.dropbox.com/s/9macoc1yjq1i1lg/100025_irnt.ldsc.imputed_v3.male.tsv.bgz
